Название породы,Ссылка,Стоимость,Длительность жизни,Шерсть,Рождаемость,Рост в холке,Вес,Содержание,Назначение,Описание,Изображение
Американский булли,https://doge.ru/poroda/amerikanskij-bulli,150-500 тыс. руб.,8-14 лет,Не обильная линька,От 2 до 4 щенков,"Мальчик - 43-57 см, девочка - 40-54 см","Мальчик – 40-58  кг, девочка - 30-48  кг","В квартире, частный дом","Служебные,   Компаньоны","Американский булли – молодая порода, которую уже успели полюбить собаководы за ее грозный вид в сочетании с ласковым характером. Представителей породы считают бодибилдерами среди собак всего мира. Они обладают сравнительно небольшим ростом и поражающей размерами мускулатурой. Устрашающий внешний вид и пасть огромных размеров напугает каждого. Но это первые впечатления. На самом деле под пугающей личностью скрывается уверенный и добродушный пес с дружелюбным нравом. Он с большой любовью относится к хозяину и его семье, является отличным компаньоном. Американский булли обладает средними размерами. Внешне животные похожи на своих предков – амстаффов и питбулей. Главное отличие – более мощное и коренастое телосложение. Это довольно компактная порода, обладающая высокой скоростью, ловкостью и выносливостью. Существует 4 категории породы в зависимости от высоты в холке: Вес собак колеблется в диапазоне от 30 до 58 кг. Чаще всего встречаются такие дефекты: К дисквалифицирующим порокам относятся: Хоть американцы и обладают суровой, устрашающей внешностью, по сути это жизнерадостные собаки с уравновешенной психикой. Они легко контактируют и дружелюбно относятся к окружающим. Булли очень рады общению и ласке и с большим удовольствием примут поглаживания и почесывания, перевернувшись на спину и зажмурив глаза. Благодаря их коммуникабельности им удается уживаться в любом коллективе. И не важно, собачья стая это или человеческая семья. Они чутко улавливают настроение в доме и при необходимости способны разрядить напряженную обстановку забавной выходкой. Псы хорошо относятся к детям, любят играть с ними в активные игры и позволяют себя тискать, не проявляя агрессии и не огрызаясь. Американцы отлично контактируют со всей семьей, но хозяином считают только одного человека, постоянно стараясь ему угодить, проявляя ласку и любовь. Если хозяина долго нет дома, собаки испытывают стресс. Поэтому не нужно оставлять их в одиночестве на долгое время. Им необходимо постоянное внимание. Для роли идеального охранника булли не хватает природной агрессии. Но с ролью защитника пес справится отлично. Если хозяину или его семье угрожает опасность, он без раздумий встанет на защиту и будет стоять до конца. При этом для него не важны размеры соперника. Главные достоинства породы: Недостатки: Родиной американских булли считаются США. Это молодая порода, которая возникала не более трех десятков лет назад в результате скрещивания питбультерьеров и стаффордширских терьеров. Задача, которую поставили перед собой селекционеры, была практически невыполнимой. Они должны были из генов двух бойцовских, агрессивных собак создать не агрессивную, дружелюбную собаку-компаньона, оставив устрашающую внешность, поражающую размерами мускулатуру, мощность. Первое становление породы было зафиксировано в Американской Калифорнии и Вирджинии. Именно из этих районов новая порода распространилась по всей Америке, странам Азии и Европы. Спустя некоторое время селекционеры также использовали гены других пород: французского бульдога, стаффордширского бультерьера, американского бульдога, английского бульдога, староанглийского бульдога. Порода была официально признана на территории США в 2004 году. На международном уровне ее так и не признали, даже несмотря на ее популярность, которая постоянно растет. В России существует не так много питомников, которые занимаются разведением данной породы. Они находятся в окрестностях Санкт-Петербурга, Москвы, а также в некоторых крупных городах России. Очень часто встречаются заводчики, продающие под видом булли питбулей и амстаффов, так как щенки внешне очень похожи друг на друга. Чтобы приобрести чистокровного малыша, лучше обратиться к заводчикам из Европы и Америки. Если нет такой возможности, воспользуйтесь услугами эксперта-кинолога, который без труда различает бойцовские породы. Перед покупкой важно определиться с типом породы: стандарт, классик, покет или XL. Рекомендуется покупать щенков в возрасте 1,5-2 месяца. При выборе необходимо обратить внимание на внешний вид и поведение малыша. Здоровый щенок отличается следующими признаками: Не стоит брать трусливого и робкого малыша, который забивается в угол. Из него может вырасти слабая и болезненная собака. У каждого щенка должны быть документы, ветеринарный паспорт, в котором указана информация о вакцинации животного. Заводчик должен дать рекомендации по содержанию и уходу за питомцем, а также советы по его адаптации в новом доме. Стоимость породистых щенков зависит от таких факторов: Это дорогая порода, цены щенков начинаются от 150 тысяч рублей и могут достигать 500 тысяч. Более дешевые малыши относятся к племенному браку. Они не смогут участвовать в выставках, соревнованиях, в племенном разведении. Европейские питомники предлагают щенков по более низким ценам – около 700 евро. Несмотря на высокую цену, представители породы очень популярны среди собаководов. Это идеальные компаньоны и друзья, которые сделают жизнь веселой и увлекательной. Американские булли не требуют сложного ухода. Лучшее место для содержания – частный или загородный дом, так как это достаточно активная порода, нуждающаяся в большом пространстве. В городских квартирах животные также могут жить, если с ними гулять ежденевно не меньше 2 часов и тренироваться минимум 1 час. Питание играет одну из самых важных ролей в полноценном развитии пса. Булли можно кормить сухим высококачественным кормом (не ниже премиум-класса) и натуральными продуктами. Самое главное, чтобы рацион был сбалансированным. Промышленные корма имеют явные преимущества. Они содержат все необходимые витамины, питательные вещества, микроэлементы в нужном количестве. Используя данный вид корма, не нужно использовать какие-либо пищевые добавки. Важно только обеспечить постоянный доступ питомца к свежей и чистой воде. При питании натуральными продуктами меню животного должно состоять из: Запрещено: Так как животные склонны к ожирению, необходимо давать умеренные порции пищи. Ежедневные физические нагрузки – обязательны. Питомцы обладают короткой шерстью, которую необходимо вычесывать 1 раз в неделю с помощью массажной щетки в течение нескольких минут. Во время линьки эту процедуру рекомендуется проводить 2 раза в неделю. Купать псов необходимо по мере необходимости, но помните, что частые банные процедуры даже вредны для них. В среднем купание необходимо 1 раз в 3 месяца с использованием специального шампуня для короткошерстных пород. Лапы нужно мыть после каждой прогулки. Загрязненную шерсть протирают влажной губкой. Важно контролировать состояние зубов и десен. Зубы чистить 3-4 раза в неделю с помощью зубной щетки или насадки на палец. После Очень важно регулярно осматривать уши и глаза, убирать накопившуюся серу и закиси. Чтобы поддержать чистоту и гигиену ротовой полости, необходимо чистить зубы специальной зубной пастой и щеткой (или насадкой на палец). Для профилактики зубного налета можно давать силиконовые игрушки и лакомства из прессованных костей. Когти обстригаются по мере необходимости. Необходимо регулярно осматривать подушечки лап на наличие ран, так как собаки отличаются высоким болевым порогом и спокойно переносят повреждения. Выгуливать четвероногого друга необходимо два раза в день – утром и вечером. Во время прогулок в городе не спускайте его с поводка. Свободный выгул возможен в уединенных, безопасных местах. Рекомендуется ездить с питомцем на природу хотя бы раз в неделю. Для зимних прогулок необходимо приобрести одежду для питомца, так как он плохо переносит холод. Летом нужно следить, чтобы он не перегрелся. Когда очень жарко или холодно, длительность прогулок уменьшают. Несмотря на то, что порода обладает высоким уровнем интеллекта и большим желанием порадовать хозяина, обращаться с ней не так просто. Собакам необходима социализация с первых дней появления в новом доме. Вам необходимо подружиться с питомцем и показать, что вы являетесь лидером. Булли – относительно молодая порода, поэтому все породные заболевания еще не выявлены. Для своевременного выявления возможных проблем со здоровьем рекомендуется проходить полное обследование в ветеринарной клинике 1 раз в 6 месяцев. В целом собаки имеют крепкий иммунитет, но подвержены таким заболеваниям: Регулярная вакцинация, обработка от паразитов поможет животному, как можно дольше оставаться здоровым. Средняя продолжительность жизни составляет 8-14 лет. Американский булли ломает все стереотипы. Обладатели этой породы никогда не пожалеют, что выбрали именно ее. Ведь это не просто преданный и верный друг, но и отважный, смелый защитник, отличная нянька для детей. Получая любовь и заботу хозяина, он отвечает тем же.","https://images.prismic.io/doge/e5d204c2-08d1-4e31-9c68-ded566b32050_3.jpg?auto=compress,format&rect=86,0,1872,1872&w=456&h=456"
Акита-ину,https://doge.ru/poroda/akita-inu,От 60 до 230 тыс. руб.,От 10 до 13 лет,Линяет,От 3 до 9 щенков,"Мальчик от 66 до 71 см, девочка от 61 до 66 см","Мальчик от 45 до 59 кг, девочка от 32 до 45 кг",Опыт требуется,Компаньоны,"Акита-ину – популярная во всем мире порода шпицеобразных собак. Порода была выведена в северной префектуре Японии Акита и считается одной из самых древних. Собаки преданные, умные и независимы В Японии эта порода считается лучшей нянькой для ребёнка. Собаки являются отличными компаньонами, сторожами и охранниками. Комфортнее всего собаке в странах с холодными или умеренными климатическими условиями. Отличительными особенностями этой породы являются: Девочки традиционно имеют более длинное тело. Растут собаки медленно, полностью развитой акита-ину считаются в возрасте 3 лет. У акита-ину красочный характер. Собаки из страны восходящего солнца игривые, могут быть упрямыми, но если установить контакт, то во взаимоотношениях с хозяином проблем не будет. Важно сразу показать, кто главный. Если питомец учует слабость, то непременно попытается доминировать. Акита-ину легко обучаются, быстро воспринимают новые знания. Обучать собаку надо разными способами в форме игры, иначе ей будет скучно. Представители этой породы преданны, они никогда не помешают хозяину. Пёс послушно дожидается человека с работы, а дома будет ненавязчиво следовать за ним. При содержании собаки в многоквартирном доме, стоит учитывать, что у них нет страха высоты. Маленькие щенки храбрые, а взрослые с лёгкостью прыгают в высоту не волнуясь о приземлении. Этой породе требуется много пространства и физических нагрузок, без движения они не смогут. Акита-ину боятся тесных помещений, им нужен широкий обзор, они любят наблюдать за обстановкой. Акита-ину хорошо ладят с людьми, особенно зрелого возраста. К детям со своей семьи собака относится отлично, при условии что ребёнок относится к собаке уважительно. Но японские собаки никогда не обидят ребёнка, если малыш сделает больно, акита уйдёт. К чужакам собака относится настороженно. К гостям хозяина пёс не проявляет агрессии, он будет наблюдать пока не поймёт, что опасности нет. С животными мельче себя эта порода уживается неплохо, особенно если они вместе выросли. К крупным собакам, особенно своего пола и вида, они относятся агрессивно. Акита-ину достаточно тихие собаки, им не свойственно лаять без причины, голос подаётся только для предупреждения. При этом собаки чувствительны к непривычным звукам или другим животным, которые вторглись на доверенную территорию. Акита-ину – легендарная японская собака. Оно известна с давних времён, но первые письменные воспоминания зафиксированы в XVII веке. Тогда собаки использовались для охраны императора и охоты на дичь, с ними ходили даже на медведя. Нередко считают, что японская акита-ину и американская акита это одна и та же порода. У них действительно есть общая история, но породы развиваются независимо. Японские собаки были выведены в провинции Акита в Японии. Американская порода начала своё развитие в 1937 году, когда слепоглухонемая женщина решила увезти с Японии на родину акита-ину. Ее вдохновила история Хатико – преданного пса, который годами ждал возвращения своего хозяина. По окончанию Второй мировой войны американские солдаты массово вывозили акита-ину домой в Америку. Так начала свое формирование другая порода, известная сегодня как американская акита. Японцы очень ценят акита-ину, их также называют «сокровище Японии», и е желают признавать, что американская акита другая порода. Приобрести действительно чистокровного представителя породы акита-ину можно в клубах собаководов. Перед покупкой стоит изучить родословную, узнать есть ли у собаки прививки. Также стоит поинтересоваться репутацией питомника. Если вам нужен представитель шоу класса, следует знать, что лучшие особи рождены в небольших пометах от родителей с родословной. У таких щенков крайне редко встречаются наследственные проблемы и аллергии. Здоровый щенок должен быть активным, у него хороший аппетит. Стоит обратить внимание на ушки и глаза собаки, они должны быть чистыми без каких-либо выделений. Этого будет достаточно, чтобы купить здорового питомца. Для щенков шоу-класса есть много нюансов по выбору, помочь с подбором поможет опытный заводчик. Ухаживать за акита-ину несложно. Оптимальные условия для жизни акита-ину — это проживание в загородных домах с большим приусадебным участком. Если же собака ограничена в движениях и живёт в многоквартирном доме, её необходимо выгуливать минимум 2 раза в день. Продолжительность каждой прогулки должна составлять 1-2 часа. Стоит отметить, что эта порода энергичная, потратить накопившеюся энергию акита могут только на прогулках. Акита-ину должны не только гулять на поводке и бегать, им надо давать физические нагрузки, соответственно с возрастом. Собаки этой породы уже к 10 месяцам сильные, но у них ещё не сформирован опорно-двигательный аппарат, серьёзные нагрузки могут нанести вред молодому организму. Выгуливать собаку в пределах города лучше на поводке. Даже воспитанная собака может проявлять агрессию по отношению к более крупным собакам или представителям своей породы. Чтобы предотвратить возможные негативные последствия, акита-ину отпускают с поводка когда рядом нет собак, особенно крупных. Стоит отметить, что если вы все-таки решили завести собаку породы акита-ину, то для начала стоит пообщаться с владельцами этих собак и изучить их особенности поведения и привычки. Воспитание и дрессировка питомца очень важны для будущего счастливой жизни семьи и собаки. Питание акита-ину должно быть разнообразным, сбалансированным и полезным. Собаку можно кормить сухими кормами или натуральной пищей. Они не переборчивы в еде, поэтому одинаков отлично едят корм или натуралку. В порцию при кормлении натуральной едой входят: В рацион питания собак этой породы кроме круп, овощей и мяса также должны входить: Собакам в пищу необходимо добавлять витаминные комплексы. Взрослых собак можно кормить сухими или влажными кормами, ведь в натуральном питании невозможно соблюдать наличие всех полезных микроэлементов и витаминов. Также для собак этой породы можно выбрать корма на основе риса, овощей и рыбы, но ни в коем случае не выбирайте корма на основе кукурузы, пшеницы, мяса и других продуктов. Стоит отметить, что собак данной породы нельзя перекармливать, ведь они склонны к ожирению. Запомните, собаке категорические запрещено давать: Маленьких щенков необходимо кормить до 6 раз в день, а когда они уже становятся старше, то их постепенно надо переводить на двухразовое питание. Акита-ину отличаются крепким здоровьем, при условии что у собаки нет врождённых патологий.  Нередко представители этой породы могут страдать от генетических заболеваний или быть чувствительными к некоторым лекарствам. Чаще всего японские собаки страдают от таких заболеваний: Предотвратить большинство заболеваний можно при регулярном посещении ветеринара. Учитывая, что у собаки может развиваться аллергия на некоторые лекарства, ни в коем случае нельзя лечить питомца самостоятельно или обращаться к неопытному ветеринару. Чтобы защитить собаку от вирусных инфекций надо её прививать. После введения вакцины собаку две недели держат на карантине, чтобы предотвратить вторжение инфекции, поскольку иммунитет в этот период сильно ослаблен. Наверное, всем кто смотрел фильм «Хатико – самый верный друг» хотелось завести такого же умного и преданного собаку породы Акита-ину. Знаменитости не исключение, особенно популярными представители этой породы стали после выхода знаменитого фильма. Белоснежный акита-ину по кличке Юмэ есть у президента РФ Владимира Путина. Щенка с родословной ему подарили власти Японии за помощь России в борьбе с последствиями цунами и землетрясения. Акита-ину есть и у Натальи Чистяковой-Ионовой. Звезда завела щенка Муфтика когда была беременно вторым ребёнком. Собака стала полноценным членом семьи и с удовольствием играется с детьми Собака породы акита-ину является главным героем фильма «Хатико –самый верный друг». После выхода в прокат картины в 2009 году порода стала очень популярной. Пес Йоко, представитель породы акита-ину – главный герой книги Дж.Фишера «О чем думает ваша собака». Акита-ину – верные спутники своего хозяина, что подтверждает история Хатико. Представители этой породы самостоятельные, иногда упёртые, но они в любом случае готовы бросится на защиту своей семьи. При правильном воспитании и уходе собака подарит бесконечную любовь и преданность.","https://images.prismic.io/doge/77f99fb6-11c1-483b-ad76-e154b580b173_akita32-e1535408519866.jpg?auto=compress,format&rect=149,0,498,498&w=456&h=456"
Американская акита,https://doge.ru/poroda/amerikanskaya-akita,20-70 тыс. руб.,10-14 лет,Обильно линяет,От 6 до 8 щенков,"Мальчик - 66-71 см, девочка - 61-66 см","Мальчик – 45-65 кг, девочка - 32-45 кг","На улице, частный дом","Охотничьи,   Компаньоны","Американская акита – относительно молодая порода крупных размеров, которая была выведена в горных районах северной части Японии. Для нее характерна «маска» черного цвета на мордочке и плюшевая шерсть. Смелые, дружелюбные животные обладают хорошими качествами охранника. При возникновении угрозы они отважно будут защищать хозяина и его семью. При правильном воспитании и должном внимании из щенка вырастает добрый, преданный компаньон. Своей колоритной внешностью акиты покорили весь мир. Качество охранника заложено в американце природой. Жизнерадостная собака с доброй душой предана хозяину до последнего вдоха. Ее второе название - собака одного хозяина. Часто из-за смены владельца она так и не может привыкнуть к новому месту до конца жизни. Представители породы отличаются устойчивой психикой, спокойно реагируют на внешние раздражители. Такие собаки могут использоваться в качестве поводыря для человека. По сравнению со своими прародителями (японскими акитами) американская порода отличается более крупными размерами. Окрас представлен разнообразными оттенками. Голова американца больше и шире. Крепкий корпус обладает хорошо развитыми мускулами и массивным костяком. Щенки растут быстро, но неравномерно. Когда малышу исполняется 6 месяцев, рост немного замедляется, но не прекращается полностью. В 1,5 года щенок достигает роста взрослой особи, при этом, продолжая расти в ширину. Возможные пороки: К дисквалифицирующим порокам относятся: Собаки с явно выраженными физическими отклонениями или проблемами с поведением подлежат дисквалификации. Главное отличие американских акит в том, что они очень любят свободу и независимость. Благодаря устойчивой психике они ведут себя сдержанно и достойно. Это спокойные, ласковые и уравновешенные животные, которые никогда не лают без причины. Даже при содержании в квартире вы не услышите жалоб от соседей. Представители лают, если кто-нибудь посягает на территорию хозяина. Это отличный охранник и сторож, который, подобно самураю, держит все под контролем. Даже когда акита осматривает свою территорию, в его глазах есть что-то завораживающее и недосягаемое. Псы не навязываются, не пристают, не путаются под ногами. Им также нужно личное пространство. Не нужно излишне навязываться им. Американская порода отличается верностью хозяину, его семье. Она хорошо относится к детям, заботится о них, как нянька. Для подростков питомец станет отличным компаньоном, верным другом, поддерживая их в активных играх и различных шалостях. Лучшее место для содержания американцев – загородный дом с просторным двором. Здесь они будут великолепно чувствовать себя. Для квартирных особей необходимы регулярные, длительные, интересные и активные прогулки с элементами обучения. Это поможет поддержать их физическое и психическое здоровье. Еще одна особенность породы – очень хорошая память. Акиты обидчивые и тяжело переносят грубое отношение к себе со стороны хозяина. Старайтесь не обижать и тем более не бить любимца. С появлением щенка в вашем доме ему необходима социализация. В первые дни старайтесь избегать шумных мест и обязательно выгуливайте малыша на поводке. Со временем гуляйте в общественных местах, разрешайте общаться с людьми и животными. Часто взрослые особи с агрессией относятся к другим собакам. Поэтому выгуливать питомца необходимо на поводке. Плюсы: Минусы: Только волевой человек сможет воспитать настоящего компаньона. Иначе пес не будет подчиняться всю жизнь. Это одна из самых древних японских пород. С давних времен она использовалась в качестве сторожа, помогала охотиться на медведей, кабанов, загоняя их и отвлекая от охотника. Острый ум и смекалка помогали справиться с задачами. Количество особей значительно сократилось в XX веке. Собачьи бои не были такими популярными, содержание акит дома вышло из моды. Во время Второй Мировой войны животных забирали на службу. Во время голода японцы ели их. Когда война закончилась, особи были завезены в Америку. Солдатам приглянулись пушистые псы и они взяли их с собой, как трофей, когда возвращались домой. Это и есть начало истории американских акит. С этих пор дороги японского и американского акиты расходятся в разные стороны. Спустя некоторое время из привезенных особей вывели породу «Большая Японская». С 2001 года она называлась «Американская акита». Она получилась в результате скрещивания японской породы с представителями более крупных пород: немецкими овчарками, английскими мастифами, бульмастиффами. Американцы по размерам больше японцев. Японский клуб до сих пор не признает американскую породу и против спаривания японцев с американцами. Приобретать щенка необходимо у проверенного и надежного заводчика. Обязательно познакомьтесь с родителями малыша, оцените их внешний вид и поведение, осмотрите условия содержания животных. Заводчик должен предоставить документы, которые подтверждают родословную щенка, а также ветеринарный паспорт, где отображена информация о проведении дегельминтизации и прививках. Здоровый щенок должен: Не стоит выбирать самого мелкого малыша. Питомец должен быть бодрым, активным и веселым. Вялый щенок, скорее всего чем-то болен. Если это возможно, обратите внимание на кал собаки. Под хвостом не должно быть следов жидкого стула. При выборе учтите, что самцы более упрямые и темпераментные, самки покладистее и спокойнее. Американская акита – неприхотливое животное, но как любая другая собака требует заботы и ухода. Благодаря ежедневному уходу можно своевременно выявить проблемы со здоровьем на начальной стадии, и принять меры по их устранению. Представители данной породы не подходят для содержания в городской квартире. Комфортно они чувствуют себя на улице, в оборудованном вольере. Несмотря на крупную комплектацию, особи данной породы едят не так много. Для кормления можно использовать натуральную пищу и готовый корм. Главное правило – не смешивать два вида корма в одно кормление. Количество кормлений зависит от возраста животного: Выбирайте готовый корм премиум-класса. Обеспечьте постоянное наличие в миске чистой и свежей воды. Размер порции зависит от возраста и веса питомца. Полезные натуральные продукты: Запрещено: Для поддержания здоровья и красоты за питомцем необходимо обязательно ухаживать. Акита – обладатели густой шерсти с мягким подшерстком. Весной-осенью они обильно линяют. Животного не нужно стричь, достаточно регулярно мыть и расчесывать 1-2 раза в неделю с помощью металлической расчески. Во время линьки расчесывать необходимо каждый день. Помещение, в котором содержится питомец, нужно регулярно проветривать и увлажнять. Сухой и теплый воздух приводит к постоянной линьке. Купать следует 1 раз в 3 месяца с использованием специального шампуня. Регулярно осматривайте глаза. При необходимости протирайте мягкой тряпочкой. Уши следует осматривать 1 раз в неделю. Здоровые уши обладают розовым цветом, без избытка серы. Важно контролировать состояние зубов и десен. Зубы чистить 3-4 раза в неделю с помощью зубной щетки или насадки на палец. После прогулок нужно протирать лапы влажным полотенцем и следить, чтобы не было травм и трещин. Когти обрезаются раз в месяц с помощью когтереза для больших пород. Американская акита очень подвижная и энергичная, поэтому нуждается в регулярных прогулках на свежем воздухе. Она очень любит активные игры с хозяином. Поэтому придется запастись терпением для длительных прогулок с четвероногим другом. Дрессировка питомца – тяжелая работа. Обладая незаурядным умом, собака, прежде чем выполнять команду, подумает, нужно ли это делать. Со стороны это выглядит так, будто пес не понял, что от него требуют. Подчиняться он будет человеку, которого считает лидером. Представители породы от природы наделены крепким здоровьем и иммунитетом. По сравнению с другими породами щенки акиты менее подвержены влиянию инфекций. Но есть генетические заболевания: Американская акита подходит тем, кто желает завести бесстрашного, преданного компаньона. Для воспитания придется приложить максимум усилий, чтобы суметь завоевать уважение питомца. Это отличный выбор для волевых людей.","https://images.prismic.io/doge/bb32eb9f-537b-43ff-be38-5f2b8448e5bc_3.jpg?auto=compress,format&rect=121,0,955,955&w=456&h=456"
