description,price,height,weight,sheds,care_experience,dog_name,dog_description,relevance_score,final_score
45,45.0,50.0,20.0,Sheds,0,Австрийский пинчер,австрийский пинчер  редкий порода находиться грань исчезновения представитель порода отличаться выносливостью надёжный сторож верный друг хозяина собака жизнерадостная активная отлично уживаться доме квартире австрийский пинчер  единственный порода австрии который выводить охоты предок австрийский пинчер являться немецкий пинчер использовать охрана ферма охота дичь австрийский пинчер непохожий предка умный вежливый поддаваться дрессировке упёртым австрийский пинчер иметь достаточно интересный характер готовый защитить семью являться отличный охотник подходить охрана стад характерный качество характер собака являться доминирование австрийский пинчер плохо уживаться другой животными малый размеру исключение являться пинчера вырасти брат начать социализация детстве представитель дать порода отличаться молчанием причина подавать голос исправить воспитание хотеть заводить такой собаку необходимо выделять достаточно обучения стоить отметить представитель порода любить играть детьми стоить оставлять наедине хозяин сильный человеком допускать доминирование собака хозяином правильный воспитание собака уважать член семья послушная покупка щенок австрийский пинчер рекомендоваться ознакомиться стандарт породы покупать собака профессиональный питомниках щенок активным игривым шерсть блестящей глаз чистыми средний стоимость щенок составлять 11 22 рублей случка проводить территория самца вязка собака должный познакомиться оптимальный возраст 2 6 лет несмотря то течка сука начинаться возраст 810 месяцев собака готовый вязке ранний роды навредить здоровье собака поставить здоровье потомства шерсть собака дать порода густая средний длине шерсть оставаться красивой следовать вычёсывать 2 раз неделю следовать использовать резиновый перчатка влажный полотенце купать собака дать порода необходимости интенсивность загрязнение шерсть собака влиять место который находиться образ жизни запомните собака следовать купать редкий 1 раз месяц должный следить чистота полость рот собаки собака давать чистить зубы необходимо обратиться ветеринар того удалить зубной камень такой процедура следовать 6 месяцев собака дать порода должный вести активный образ жизни позволить избежать такой заболеваний как собака дать порода привязываться семье стоить оставлять один долго пинчер жить квартира средний размеров больший домах квартира хозяин смочь уделять достаточно выгуливание собака дать порода кормить натуральный пищей сухой кормом выбрать натуральный питание позаботиться рацион полноценный сбалансированным рацион питание должный входить продукты как выбор остановиться сухой корме покупать продукция класс премиум суперпремиум определение норма кормление собака дать порода следовать рекомендация производителя каждый упаковка корма собака дать порода природа энергичные иметь крепкий здоровье иммунитет стоить отметить большинство заболевание  последствие генетический предрасположенностей результат неправильный ухода важно обеспечить собака своевременный медицинский помощь главное  плановый осмотр вакцинации один основный момент являться обработка животное внешний внутренний паразитический организмов того избежать дерматит собака следовать регулярно купать активный долговременный прогулка помочь предотвратить заболевание опорнодвигательный аппарат собаки австрийский пинчер  умная способный собака стать верный спутник хозяин надёжный охранником,110.02394,55.27197052001953
45,45.0,50.0,20.0,Sheds,0,Американская эскимосская собака,американский эскимосский собака  декоративный питомец медвежий типа собака очаровывать первый минута знакомства отличный комнатный животное который стать хороший друг весь семьи одновременно надёжный охранником представитель порода активные ловкие бдительный невероятно симпатичные американский эскимосский собака разновидности отличаться рост весу средний рост независимо пола средний вес независимо пола американский эскимосский собака добрый интересный характером идеально подходить проживание квартире собака дать порода стать хороший друг член семьи возле чужой людей подозрительный осторожны собака узнать чужое человек близкий поймёт угроза нет лёгкость подружиться ним собака отказаться игра прогулок верный хозяин стараться порадовать близкий людей собака дать порода легко поддаваться дрессировке умный энергичны стоить отметить собака обожать снег поэтому зимний период необходимо разрешать поваляться снегу покупать щенок американский эскимосский собака профессиональный питомниках следовать заботиться собака дать правильный совет уходу средний стоимость щенок составлять 2238 рублей первый течка сука наступать возраст 8 месяцев проводить случка минимум двухлетний возрасте возраст организм собака готовый здоровый потомство вязка рекомендоваться посетить ветеринар обработать питомец паразитов шерсть собака дать порода требовать особый внимания вычёсывать шерсть квартире вычёсывать 510 минута день дом часто домашний любимец выглядеть красиво американский эскимосский собака должный человеком хороший жизнь собака дать порода  загородный больший приусадебный участком собака смочь побегать собака дать порода квартире хозяин гулять 23 раз день американский эскимосский собака активные удовольствие играть детьми представитель порода любить одиночества предоставить себе проявляться депрессия собака лаять причины грызть мебель отказываться еды среднее американский эскимосский собака жить 14 лет представитель порода чувствительный сухой кожный покров частный купание навредить водный процедура рекомендоваться необходимости 3 месяц собака обрабатывать блоха глистов собака дать порода  настоящий хищники рацион входить мяса американский эскимос есть телятина говядину заменить курицей объём мясо потреблять ежедневно собака дать порода зависеть вес возраста килограмм живой вес требоваться 25 грамм мяса мешать кашами гречневый рисовой овощами представитель порода давать собака три месяц необходимо кормить молочный продуктами собака становиться старше молоко заменить сыр кефир многие хозяин любить свой собака сухой корм содержать нужный витамин микроэлементы собака кормить натуралкой рекомендоваться включать рацион витаминный добавки перегружать организм выбрать комплекс 35 витамин чередовать их представитель порода иметь крепкий иммунитет склонный генетический заболеваниям болеть нечасто причина являться неправильный уход питание собака дать порода возникнуть проблема глазами того собака дать порода склонный такой заболеваниям как заболевание передаваться наследству возникнуть изза неправильный питание ухода американский эскимосский собака  невероятно симпатичная умный игривая милый питомец верный компаньоном надёжный охранник весь семьи,110.02394,55.2686371866862
45,45.0,50.0,20.0,Sheds,0,Алапахский бульдог,алапахский бульдог  редкий порода считаться вымершей собака отличаться ум выносливостью умная любить активность правильный воспитание алапахский бульдог стать отличный охранник верный друг весь семьи алапахский бульдогобладатель весёлый характера собака преданный друг верный спутник хозяина представитель порода являться отличный охранник сторожами алапахский бульдог сажать цепь случае сделали собака испытывать стресс отказываться еды воды постоянно лаять возможно проявлять агрессия хозяину достоинство характер собака дать породы недостаток характер следовать отнести купить чистокровный алапахский бульдог сложно купить чистокровный щенок собачий клуб отто  авва следить чистокровность собак средний стоимость щенок составлять 60 120 рублей планировать разводить представитель порода алапахский бульдог необходимо максимальный внимание подбирать партнёра учитывая мир насчитываться сотня собак риск утратить чистокровный популяцию один главный условие комфортный проживание алапахский бульдог больший территория смочь постоянно бегать маленький квартира удовлетворить потребность собаки привыкнуть активный образ жизни такой условие содержать собаку привести ожирению загородный дом создать вольер навес тёплый будкой того собака комфортно чувствовать холодное года касаться гигиенический ухода просто касаться уход шерстью сложный нет шерсть собака дать порода короткая вычёсывать 12 раз неделю же период линька гораздо чаще купать собака следовать 4 раз год достаточно кормить взрослый собака следовать 2 раз день прогулок касаться маленький щенков кормить 4 раза рацион питание сбалансированный витамин минералов отношение белок углевод 80 20 такой соотношение необходимо соблюдать всегда меню собака необходимо включить большой количество овощей фрукт витаминный добавок собаке стоить забывать питьевой режиме важен алапахский бульдог правильный уход среднее жить 1215 лет основное собака порода здоровый крепкие некоторый заболевания который собака порода заболеть такой заболевание следовать отнести алапахский бульдог  редкий порода счастливый обладатель представитель порода иметь надёжный охранник верный друг весь семьи,110.02394,55.016970520019534
45,45.0,50.0,20.0,Sheds,0,Австрийский пинчер,австрийский пинчер  редкий порода находиться грань исчезновения представитель порода отличаться выносливостью надёжный сторож верный друг хозяина собака жизнерадостная активная отлично уживаться доме квартире австрийский пинчер  единственный порода австрии который выводить охоты предок австрийский пинчер являться немецкий пинчер использовать охрана ферма охота дичь австрийский пинчер непохожий предка умный вежливый поддаваться дрессировке упёртым австрийский пинчер иметь достаточно интересный характер готовый защитить семью являться отличный охотник подходить охрана стад характерный качество характер собака являться доминирование австрийский пинчер плохо уживаться другой животными малый размеру исключение являться пинчера вырасти брат начать социализация детстве представитель дать порода отличаться молчанием причина подавать голос исправить воспитание хотеть заводить такой собаку необходимо выделять достаточно обучения стоить отметить представитель порода любить играть детьми стоить оставлять наедине хозяин сильный человеком допускать доминирование собака хозяином правильный воспитание собака уважать член семья послушная покупка щенок австрийский пинчер рекомендоваться ознакомиться стандарт породы покупать собака профессиональный питомниках щенок активным игривым шерсть блестящей глаз чистыми средний стоимость щенок составлять 11 22 рублей случка проводить территория самца вязка собака должный познакомиться оптимальный возраст 2 6 лет несмотря то течка сука начинаться возраст 810 месяцев собака готовый вязке ранний роды навредить здоровье собака поставить здоровье потомства шерсть собака дать порода густая средний длине шерсть оставаться красивой следовать вычёсывать 2 раз неделю следовать использовать резиновый перчатка влажный полотенце купать собака дать порода необходимости интенсивность загрязнение шерсть собака влиять место который находиться образ жизни запомните собака следовать купать редкий 1 раз месяц должный следить чистота полость рот собаки собака давать чистить зубы необходимо обратиться ветеринар того удалить зубной камень такой процедура следовать 6 месяцев собака дать порода должный вести активный образ жизни позволить избежать такой заболеваний как собака дать порода привязываться семье стоить оставлять один долго пинчер жить квартира средний размеров больший домах квартира хозяин смочь уделять достаточно выгуливание собака дать порода кормить натуральный пищей сухой кормом выбрать натуральный питание позаботиться рацион полноценный сбалансированным рацион питание должный входить продукты как выбор остановиться сухой корме покупать продукция класс премиум суперпремиум определение норма кормление собака дать порода следовать рекомендация производителя каждый упаковка корма собака дать порода природа энергичные иметь крепкий здоровье иммунитет стоить отметить большинство заболевание  последствие генетический предрасположенностей результат неправильный ухода важно обеспечить собака своевременный медицинский помощь главное  плановый осмотр вакцинации один основный момент являться обработка животное внешний внутренний паразитический организмов того избежать дерматит собака следовать регулярно купать активный долговременный прогулка помочь предотвратить заболевание опорнодвигательный аппарат собаки австрийский пинчер  умная способный собака стать верный спутник хозяин надёжный охранником,110.02394,55.27197052001953
45,45.0,50.0,20.0,Sheds,0,Американская эскимосская собака,американский эскимосский собака  декоративный питомец медвежий типа собака очаровывать первый минута знакомства отличный комнатный животное который стать хороший друг весь семьи одновременно надёжный охранником представитель порода активные ловкие бдительный невероятно симпатичные американский эскимосский собака разновидности отличаться рост весу средний рост независимо пола средний вес независимо пола американский эскимосский собака добрый интересный характером идеально подходить проживание квартире собака дать порода стать хороший друг член семьи возле чужой людей подозрительный осторожны собака узнать чужое человек близкий поймёт угроза нет лёгкость подружиться ним собака отказаться игра прогулок верный хозяин стараться порадовать близкий людей собака дать порода легко поддаваться дрессировке умный энергичны стоить отметить собака обожать снег поэтому зимний период необходимо разрешать поваляться снегу покупать щенок американский эскимосский собака профессиональный питомниках следовать заботиться собака дать правильный совет уходу средний стоимость щенок составлять 2238 рублей первый течка сука наступать возраст 8 месяцев проводить случка минимум двухлетний возрасте возраст организм собака готовый здоровый потомство вязка рекомендоваться посетить ветеринар обработать питомец паразитов шерсть собака дать порода требовать особый внимания вычёсывать шерсть квартире вычёсывать 510 минута день дом часто домашний любимец выглядеть красиво американский эскимосский собака должный человеком хороший жизнь собака дать порода  загородный больший приусадебный участком собака смочь побегать собака дать порода квартире хозяин гулять 23 раз день американский эскимосский собака активные удовольствие играть детьми представитель порода любить одиночества предоставить себе проявляться депрессия собака лаять причины грызть мебель отказываться еды среднее американский эскимосский собака жить 14 лет представитель порода чувствительный сухой кожный покров частный купание навредить водный процедура рекомендоваться необходимости 3 месяц собака обрабатывать блоха глистов собака дать порода  настоящий хищники рацион входить мяса американский эскимос есть телятина говядину заменить курицей объём мясо потреблять ежедневно собака дать порода зависеть вес возраста килограмм живой вес требоваться 25 грамм мяса мешать кашами гречневый рисовой овощами представитель порода давать собака три месяц необходимо кормить молочный продуктами собака становиться старше молоко заменить сыр кефир многие хозяин любить свой собака сухой корм содержать нужный витамин микроэлементы собака кормить натуралкой рекомендоваться включать рацион витаминный добавки перегружать организм выбрать комплекс 35 витамин чередовать их представитель порода иметь крепкий иммунитет склонный генетический заболеваниям болеть нечасто причина являться неправильный уход питание собака дать порода возникнуть проблема глазами того собака дать порода склонный такой заболеваниям как заболевание передаваться наследству возникнуть изза неправильный питание ухода американский эскимосский собака  невероятно симпатичная умный игривая милый питомец верный компаньоном надёжный охранник весь семьи,110.02394,55.2686371866862
45,45.0,50.0,20.0,Sheds,0,Алапахский бульдог,алапахский бульдог  редкий порода считаться вымершей собака отличаться ум выносливостью умная любить активность правильный воспитание алапахский бульдог стать отличный охранник верный друг весь семьи алапахский бульдогобладатель весёлый характера собака преданный друг верный спутник хозяина представитель порода являться отличный охранник сторожами алапахский бульдог сажать цепь случае сделали собака испытывать стресс отказываться еды воды постоянно лаять возможно проявлять агрессия хозяину достоинство характер собака дать породы недостаток характер следовать отнести купить чистокровный алапахский бульдог сложно купить чистокровный щенок собачий клуб отто  авва следить чистокровность собак средний стоимость щенок составлять 60 120 рублей планировать разводить представитель порода алапахский бульдог необходимо максимальный внимание подбирать партнёра учитывая мир насчитываться сотня собак риск утратить чистокровный популяцию один главный условие комфортный проживание алапахский бульдог больший территория смочь постоянно бегать маленький квартира удовлетворить потребность собаки привыкнуть активный образ жизни такой условие содержать собаку привести ожирению загородный дом создать вольер навес тёплый будкой того собака комфортно чувствовать холодное года касаться гигиенический ухода просто касаться уход шерстью сложный нет шерсть собака дать порода короткая вычёсывать 12 раз неделю же период линька гораздо чаще купать собака следовать 4 раз год достаточно кормить взрослый собака следовать 2 раз день прогулок касаться маленький щенков кормить 4 раза рацион питание сбалансированный витамин минералов отношение белок углевод 80 20 такой соотношение необходимо соблюдать всегда меню собака необходимо включить большой количество овощей фрукт витаминный добавок собаке стоить забывать питьевой режиме важен алапахский бульдог правильный уход среднее жить 1215 лет основное собака порода здоровый крепкие некоторый заболевания который собака порода заболеть такой заболевание следовать отнести алапахский бульдог  редкий порода счастливый обладатель представитель порода иметь надёжный охранник верный друг весь семьи,110.02394,55.016970520019534
"Эта собака среднего размера, с крепким телосложением и короткой гладкой шерстью, которая почти не требует ухода. У нее живой и дружелюбный характер, она легко ладит с детьми и другими животными. Активная и любознательная, эта собака обожает долгие прогулки и игры на свежем воздухе",45.0,50.0,20.0,Sheds,0,Австрийский пинчер,австрийский пинчер  редкий порода находиться грань исчезновения представитель порода отличаться выносливостью надёжный сторож верный друг хозяина собака жизнерадостная активная отлично уживаться доме квартире австрийский пинчер  единственный порода австрии который выводить охоты предок австрийский пинчер являться немецкий пинчер использовать охрана ферма охота дичь австрийский пинчер непохожий предка умный вежливый поддаваться дрессировке упёртым австрийский пинчер иметь достаточно интересный характер готовый защитить семью являться отличный охотник подходить охрана стад характерный качество характер собака являться доминирование австрийский пинчер плохо уживаться другой животными малый размеру исключение являться пинчера вырасти брат начать социализация детстве представитель дать порода отличаться молчанием причина подавать голос исправить воспитание хотеть заводить такой собаку необходимо выделять достаточно обучения стоить отметить представитель порода любить играть детьми стоить оставлять наедине хозяин сильный человеком допускать доминирование собака хозяином правильный воспитание собака уважать член семья послушная покупка щенок австрийский пинчер рекомендоваться ознакомиться стандарт породы покупать собака профессиональный питомниках щенок активным игривым шерсть блестящей глаз чистыми средний стоимость щенок составлять 11 22 рублей случка проводить территория самца вязка собака должный познакомиться оптимальный возраст 2 6 лет несмотря то течка сука начинаться возраст 810 месяцев собака готовый вязке ранний роды навредить здоровье собака поставить здоровье потомства шерсть собака дать порода густая средний длине шерсть оставаться красивой следовать вычёсывать 2 раз неделю следовать использовать резиновый перчатка влажный полотенце купать собака дать порода необходимости интенсивность загрязнение шерсть собака влиять место который находиться образ жизни запомните собака следовать купать редкий 1 раз месяц должный следить чистота полость рот собаки собака давать чистить зубы необходимо обратиться ветеринар того удалить зубной камень такой процедура следовать 6 месяцев собака дать порода должный вести активный образ жизни позволить избежать такой заболеваний как собака дать порода привязываться семье стоить оставлять один долго пинчер жить квартира средний размеров больший домах квартира хозяин смочь уделять достаточно выгуливание собака дать порода кормить натуральный пищей сухой кормом выбрать натуральный питание позаботиться рацион полноценный сбалансированным рацион питание должный входить продукты как выбор остановиться сухой корме покупать продукция класс премиум суперпремиум определение норма кормление собака дать порода следовать рекомендация производителя каждый упаковка корма собака дать порода природа энергичные иметь крепкий здоровье иммунитет стоить отметить большинство заболевание  последствие генетический предрасположенностей результат неправильный ухода важно обеспечить собака своевременный медицинский помощь главное  плановый осмотр вакцинации один основный момент являться обработка животное внешний внутренний паразитический организмов того избежать дерматит собака следовать регулярно купать активный долговременный прогулка помочь предотвратить заболевание опорнодвигательный аппарат собаки австрийский пинчер  умная способный собака стать верный спутник хозяин надёжный охранником,7.3900228,3.9550113773345945
"Эта собака среднего размера, с крепким телосложением и короткой гладкой шерстью, которая почти не требует ухода. У нее живой и дружелюбный характер, она легко ладит с детьми и другими животными. Активная и любознательная, эта собака обожает долгие прогулки и игры на свежем воздухе",45.0,50.0,20.0,Sheds,0,Американская эскимосская собака,американский эскимосский собака  декоративный питомец медвежий типа собака очаровывать первый минута знакомства отличный комнатный животное который стать хороший друг весь семьи одновременно надёжный охранником представитель порода активные ловкие бдительный невероятно симпатичные американский эскимосский собака разновидности отличаться рост весу средний рост независимо пола средний вес независимо пола американский эскимосский собака добрый интересный характером идеально подходить проживание квартире собака дать порода стать хороший друг член семьи возле чужой людей подозрительный осторожны собака узнать чужое человек близкий поймёт угроза нет лёгкость подружиться ним собака отказаться игра прогулок верный хозяин стараться порадовать близкий людей собака дать порода легко поддаваться дрессировке умный энергичны стоить отметить собака обожать снег поэтому зимний период необходимо разрешать поваляться снегу покупать щенок американский эскимосский собака профессиональный питомниках следовать заботиться собака дать правильный совет уходу средний стоимость щенок составлять 2238 рублей первый течка сука наступать возраст 8 месяцев проводить случка минимум двухлетний возрасте возраст организм собака готовый здоровый потомство вязка рекомендоваться посетить ветеринар обработать питомец паразитов шерсть собака дать порода требовать особый внимания вычёсывать шерсть квартире вычёсывать 510 минута день дом часто домашний любимец выглядеть красиво американский эскимосский собака должный человеком хороший жизнь собака дать порода  загородный больший приусадебный участком собака смочь побегать собака дать порода квартире хозяин гулять 23 раз день американский эскимосский собака активные удовольствие играть детьми представитель порода любить одиночества предоставить себе проявляться депрессия собака лаять причины грызть мебель отказываться еды среднее американский эскимосский собака жить 14 лет представитель порода чувствительный сухой кожный покров частный купание навредить водный процедура рекомендоваться необходимости 3 месяц собака обрабатывать блоха глистов собака дать порода  настоящий хищники рацион входить мяса американский эскимос есть телятина говядину заменить курицей объём мясо потреблять ежедневно собака дать порода зависеть вес возраста килограмм живой вес требоваться 25 грамм мяса мешать кашами гречневый рисовой овощами представитель порода давать собака три месяц необходимо кормить молочный продуктами собака становиться старше молоко заменить сыр кефир многие хозяин любить свой собака сухой корм содержать нужный витамин микроэлементы собака кормить натуралкой рекомендоваться включать рацион витаминный добавки перегружать организм выбрать комплекс 35 витамин чередовать их представитель порода иметь крепкий иммунитет склонный генетический заболеваниям болеть нечасто причина являться неправильный уход питание собака дать порода возникнуть проблема глазами того собака дать порода склонный такой заболеваниям как заболевание передаваться наследству возникнуть изза неправильный питание ухода американский эскимосский собака  невероятно симпатичная умный игривая милый питомец верный компаньоном надёжный охранник весь семьи,7.3900228,3.951678044001261
